Available devices: 1
Current device: 0
Train Dataset size: 3550
Train Loader size: 73
Valid Dataset size: 5
Valid Loader size: 5
Data Loader successful!
/scratch/cc6858/ece57000/penv/lib/python3.8/site-packages/torch/utils/data/dataloader.py:563: UserWarning: This DataLoader will create 2 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
<epoch:385, lr:1.000e-04> loss: 3.167e-02 
<epoch:386, lr:1.000e-04> loss: 3.254e-02 
<epoch:387, lr:1.000e-04> loss: 3.241e-02 
<epoch:388, lr:1.000e-04> loss: 3.285e-02 
<epoch:389, lr:1.000e-04> loss: 3.297e-02 
<epoch:390, lr:1.000e-04> loss: 3.265e-02 
<epoch:390, Average PSNR : 30.46dB

<epoch:391, lr:1.000e-04> loss: 3.313e-02 
<epoch:392, lr:1.000e-04> loss: 3.185e-02 
<epoch:393, lr:1.000e-04> loss: 3.322e-02 
<epoch:394, lr:1.000e-04> loss: 3.256e-02 
<epoch:395, lr:1.000e-04> loss: 3.340e-02 
<epoch:396, lr:1.000e-04> loss: 3.227e-02 
<epoch:397, lr:1.000e-04> loss: 3.282e-02 
<epoch:398, lr:1.000e-04> loss: 3.170e-02 
<epoch:399, lr:1.000e-04> loss: 3.346e-02 
<epoch:400, lr:1.000e-04> loss: 3.254e-02 
<epoch:400, Average PSNR : 30.58dB

<epoch:401, lr:1.000e-04> loss: 3.384e-02 
<epoch:402, lr:1.000e-04> loss: 3.257e-02 
<epoch:403, lr:1.000e-04> loss: 3.275e-02 
<epoch:404, lr:1.000e-04> loss: 3.246e-02 
<epoch:405, lr:1.000e-04> loss: 3.203e-02 
